Label Feature,Dropped Feature,Model Name,Test MSE,Test MAE,Test MAPE
SWC_10,Day sin,RNN,0.033627983182668686,0.10296575725078583,18.128820419311523
SWC_10,Day sin,LSTM,0.04553791508078575,0.15237903594970703,19.036869049072266
SWC_10,Day sin,Autoregressive,0.05369381606578827,0.14049650728702545,17.946989059448242
SWC_10,Day sin,Bi-LSTM,0.025740455836057663,0.0809464231133461,14.41146183013916
SWC_10,Day cos,Baseline,0.04387820139527321,0.08710717409849167,14.520020484924316
SWC_10,Day cos,Multi-step Linear,0.07295841723680496,0.20924517512321472,29.044445037841797
SWC_10,Day cos,Multi-step Dense,0.028025783598423004,0.09166805446147919,14.50933837890625
SWC_10,Day cos,CNN,0.03456522896885872,0.10655748099088669,13.913498878479004
SWC_10,Day cos,RNN,0.02800557017326355,0.08577758073806763,14.183609962463379
SWC_10,Day cos,LSTM,0.03099161572754383,0.0939832255244255,13.019577026367188
SWC_10,Day cos,Autoregressive,0.053826943039894104,0.13923652470111847,18.592063903808594
SWC_10,Day cos,Bi-LSTM,0.03131905943155289,0.10021935403347015,16.14087677001953
SWC_10,Year sin,Baseline,0.04387820512056351,0.08710715174674988,14.52002239227295
SWC_10,Year sin,Multi-step Linear,0.07357677072286606,0.20727863907814026,29.39044761657715
SWC_10,Year sin,Multi-step Dense,0.027577385306358337,0.08699227124452591,13.780086517333984
SWC_10,Year sin,CNN,0.04055419936776161,0.1252981722354889,16.393468856811523
SWC_10,Year sin,RNN,0.027544667944312096,0.09043653309345245,14.038751602172852
SWC_10,Year sin,LSTM,0.03709761053323746,0.12303142994642258,15.82027530670166
SWC_10,Year sin,Autoregressive,0.05349424481391907,0.13861435651779175,16.58908462524414
