target,model_type,n_steps,offset,features,mse,mae,mae_percentage
Sat_SM_SMAP,lstm,2,2,"('Ppt', 'RH', 'distance_SMAP')",0.0008115410775029145,0.02056126451652685,14.017179534259325
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Windspeed', 'Winddirection')",0.0008117559472808243,0.020138145065390353,13.451084040862716
Sat_SM_SMAP,lstm,2,2,"('Ppt', 'Srad', 'Tair', 'RH', 'distance_SMAP')",0.0008124304916430264,0.02058545633784977,13.950164121276984
Sat_SM_SMAP,lstm,5,5,"('Ppt', 'Windspeed', 'Winddirection', 'distance_SMAP')",0.0008126610643663977,0.021910167474813048,14.773035658054635
Sat_SM_SMAP,lstm,2,2,"('Srad', 'Tair', 'RH', 'Winddirection')",0.0008129395277260674,0.02064221721890825,14.03784290328658
Sat_SM_SMAP,lstm,2,2,"('Ppt', 'Tair', 'RH', 'Windspeed', 'Winddirection', 'distance_SMAP')",0.00081295051120199,0.020427156189771076,13.924859784135332
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Winddirection')",0.0008129628301876197,0.020139938782156225,13.469181126256336
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'distance_SMAP')",0.0008133510848252299,0.02044042224493805,13.72855052656632
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'Tair', 'distance_SMAP')",0.0008133820696002294,0.020491547886359124,13.687036679754675
Sat_SM_SMAP,lstm,2,2,"('Ppt', 'Tair', 'RH', 'distance_SMAP')",0.0008134103244882212,0.02043460321564274,13.922197116332397
Sat_SM_SMAP,lstm,7,7,"('RH',)",0.0008134104077345411,0.022189884622603625,15.303514969237266
Sat_SM_SMAP,lstm,2,2,"('Ppt', 'Srad', 'Tair', 'RH', 'Windspeed', 'distance_SMAP')",0.0008135498064423068,0.02061567499037264,13.978165103135332
Sat_SM_SMAP,autoregressive,5,5,"('Ppt', 'Tair')",0.0008135950781848756,0.02186810715872114,14.846639227995079
Sat_SM_SMAP,lstm,5,5,"('Ppt', 'Tair', 'distance_SMAP')",0.0008136917032041117,0.021797764912483288,14.802073699308627
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'Tair', 'Windspeed', 'distance_SMAP')",0.0008138537824557635,0.020528446004191774,13.741631603727674
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Tair')",0.0008139327415976943,0.020409534274448624,13.572773164190835
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'Tair')",0.0008141503795367486,0.020568124823837932,13.774990997437985
Sat_SM_SMAP,autoregressive,2,2,"('RH', 'Windspeed', 'distance_SMAP')",0.0008143484146036975,0.02045074676900329,13.799954303083409
Sat_SM_SMAP,lstm,6,6,"('Ppt', 'Winddirection', 'distance_SMAP')",0.0008147095972704123,0.02214036223146895,14.96462636388781
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'Tair', 'Winddirection', 'distance_SMAP')",0.0008148635576185186,0.02055419058144269,13.778803218765361
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'Windspeed', 'Winddirection')",0.0008151200533378455,0.020616753994874212,13.787541830591103
Sat_SM_SMAP,autoregressive,6,6,"('Ppt', 'Tair', 'RH', 'Winddirection')",0.000815194518017483,0.02201220601947094,14.867058660385743
Sat_SM_SMAP,autoregressive,6,6,"('Ppt', 'Tair', 'Winddirection', 'distance_SMAP')",0.0008152391158047344,0.021940670310455712,14.457080469821202
Sat_SM_SMAP,lstm,7,7,"('Tair', 'Windspeed', 'Winddirection', 'distance_SMAP')",0.0008154579412072455,0.022108973731686958,15.15093318204703
Sat_SM_SMAP,lstm,2,2,"('Ppt', 'Tair', 'RH')",0.0008157981035495724,0.02050878084445327,13.982887780606902
Sat_SM_SMAP,lstm,6,6,"('Winddirection', 'distance_SMAP')",0.000815799099488536,0.02218549081543109,15.123420389675124
Sat_SM_SMAP,lstm,7,7,"('RH', 'distance_SMAP')",0.0008158108122431898,0.022233927650682137,15.273791968567304
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'Tair', 'Windspeed', 'Winddirection')",0.0008159478777015907,0.020615347455804733,13.788684752134026
Sat_SM_SMAP,autoregressive,2,2,"('Srad', 'RH', 'Windspeed', 'distance_SMAP')",0.0008160230089726521,0.020696303120087436,13.943745870618951
Sat_SM_SMAP,autoregressive,6,6,"('Windspeed', 'Winddirection')",0.0008162434843793274,0.021852529909234905,14.820692867641217
Sat_SM_SMAP,lstm,7,7,"('Ppt', 'Srad', 'Tair', 'RH')",0.0008163885010172933,0.02195026948361624,15.155713443293179
Sat_SM_SMAP,autoregressive,6,6,"('Tair', 'RH', 'Windspeed')",0.0008164172066852738,0.021843976286067598,15.130634105360235
Sat_SM_SMAP,lstm,5,5,"('Ppt', 'Tair', 'Windspeed', 'distance_SMAP')",0.0008165163076884975,0.02176931085370095,14.771223901509853
Sat_SM_SMAP,lstm,5,5,"('Windspeed', 'Winddirection')",0.0008165833858067314,0.022187732068081858,15.023926760791445
Sat_SM_SMAP,autoregressive,5,5,"('Winddirection',)",0.0008165869081511037,0.02233253029342533,15.091674003632635
Sat_SM_SMAP,autoregressive,2,2,"('RH', 'Windspeed')",0.0008170034031288783,0.020649910584737426,14.017351328489905
Sat_SM_SMAP,lstm,5,5,"('Ppt', 'RH', 'distance_SMAP')",0.0008171514110692761,0.022077753700533234,15.130842222850092
Sat_SM_SMAP,lstm,2,2,"('Ppt', 'Srad', 'Tair', 'RH')",0.0008174404259557565,0.020693747309232523,14.056974261432732
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Tair', 'Windspeed', 'Winddirection', 'distance_SMAP')",0.0008175741434023793,0.020351677952195887,13.566244388816193
Sat_SM_SMAP,lstm,5,5,"('Ppt',)",0.0008179666494043374,0.021826684783722745,14.865289906341816
Sat_SM_SMAP,lstm,2,2,"('Srad', 'Tair', 'RH', 'Windspeed', 'Winddirection', 'distance_SMAP')",0.0008181603960933367,0.020721355175248115,14.058947820423228
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad')",0.0008181995580347761,0.0205756777087799,13.814165896505537
Sat_SM_SMAP,lstm,2,2,"('Srad', 'Tair', 'RH', 'distance_SMAP')",0.0008182083730801642,0.02078765115709569,14.172568480938436
Sat_SM_SMAP,lstm,6,6,"('Tair', 'RH', 'Winddirection')",0.0008188523174833671,0.02214084848424343,15.00704913835599
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Windspeed', 'Winddirection', 'distance_SMAP')",0.0008190192720899649,0.020313483424296685,13.566381683759765
Sat_SM_SMAP,autoregressive,6,6,"('Tair', 'RH', 'Winddirection')",0.0008190341838356699,0.022195846829256387,14.69539302837439
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'distance_SMAP')",0.0008191126169419999,0.02048212991294829,13.673623951140716
Sat_SM_SMAP,autoregressive,5,5,"('Ppt', 'Tair', 'Windspeed')",0.0008191671890947911,0.022015246430122457,15.031968530172135
Sat_SM_SMAP,autoregressive,2,2,"('Srad', 'RH', 'distance_SMAP')",0.0008192505178415826,0.020707844981103455,14.02130802456574
Sat_SM_SMAP,autoregressive,6,6,"('Tair', 'RH', 'Winddirection', 'distance_SMAP')",0.0008193199496522563,0.022336447491796054,15.229817204735685
Sat_SM_SMAP,autoregressive,6,6,"('Ppt', 'Srad', 'Windspeed', 'Winddirection')",0.0008193845081499646,0.022072921012812254,14.904361783809492
Sat_SM_SMAP,autoregressive,6,6,"('Tair', 'RH')",0.0008195390838398349,0.022090616017219098,15.29490408650619
Sat_SM_SMAP,lstm,5,5,"('Ppt', 'Tair', 'Windspeed', 'Winddirection')",0.0008196805117725084,0.02186664743961295,14.736272885673952
Sat_SM_SMAP,autoregressive,1,1,"('Ppt', 'Tair', 'RH', 'Windspeed', 'distance_SMAP')",0.00081975856099269,0.020375719863653496,13.88448790704756
Sat_SM_SMAP,autoregressive,5,5,"('Ppt', 'Tair', 'Windspeed', 'distance_SMAP')",0.000819821507419079,0.02203508738190024,15.006843974969
