========================================
Citation:
Pierre, JP, Dashtian, H, &amp; Young, MH. Texas Soil Observation Network (TxSON).
File Created/Processed: 2026-02-24 15:29:16
========================================
"TOA5","CR1000_1","CR1000","98563","CR1000.Std.32.05","CPU:CR1000_1v3_onswitch.CR1","43335","Hourly_met"
"TIMESTAMP","RECORD","Rain_mm_Tot","AirTC_Avg","RH","WS_ms_S_WVT","WindDir_D1_WVT","SlrW_Avg","ETos","Rso"
"TS","RN","mm","Deg C","%","meters/second","Deg","W/m^2","mm","MJ/m²"
"","","Tot","Avg","Smp","WVc","WVc","Avg","ETXs","Rso"
"2022-06-18 12:00:00",240,0,32.4,31.52,2.81,157.9,975,0.828,3.625
"2022-06-18 13:00:00",241,0,33.25,26.33,2.949,162,1000,0.864,3.542
"2022-06-18 14:00:00",242,0,34.07,28.18,2.99,150.9,971,0.857,3.239
"2022-06-18 15:00:00",243,0,34.56,27.56,3.022,154.1,895,0.808,2.735
"2022-06-18 16:00:00",244,0,34.61,29.14,2.893,155.4,763.7,0.703,2.086
"2022-06-18 17:00:00",245,0,34.25,29.97,3.194,163.1,554.8,0.557,1.342
"2022-06-18 18:00:00",246,0,33.68,32.52,3.022,165.8,366,0.399,0.588
"2022-06-18 19:00:00",247,0,32.41,34.92,3.054,161.4,76.9,0.176,0.057
"2022-06-18 20:00:00",248,0,30.88,38.54,2.298,165.2,9.03,0.081,0
"2022-06-18 21:00:00",249,0,29.31,42.83,1.769,174.5,0,0.05,0
"2022-06-18 22:00:00",250,0,28.01,47.02,1.12,188.9,0,0.018,0
"2022-06-18 23:00:00",251,0,27.47,56.29,1.808,183.9,0,0.036,0
"2022-06-19 00:00:00",252,0,26.96,66.43,2.291,186,0,0.036,0
"2022-06-19 01:00:00",253,0,26.11,70.75,2.02,193.6,0,0.021,0
"2022-06-19 02:00:00",254,0,24.97,75.45,1.455,191.3,0,0.005,0
"2022-06-19 03:00:00",255,0,24.02,78.85,1.443,192.6,0,0.001,0
"2022-06-19 04:00:00",256,0,23.24,82,1.077,190.1,0,-0.008,0
"2022-06-19 05:00:00",257,0,22.88,86.4,1.236,205.7,0,-0.008,0.024
"2022-06-19 06:00:00",258,0,22.18,89.2,0.936,214.8,9.11,0.017,0.434
"2022-06-19 07:00:00",259,0,22.87,82.8,0.999,209.4,135.8,0.095,1.15
"2022-06-19 08:00:00",260,0,24.95,69.3,1.18,210.2,340.2,0.242,1.887
"2022-06-19 09:00:00",261,0,26.94,57.38,1.575,202,549,0.41,2.556
"2022-06-19 10:00:00",262,0,28.81,49.68,1.981,173.1,736.3,0.571,3.087
"2022-06-19 11:00:00",263,0,30.57,44.34,2.229,168.4,889,0.709,3.439
"2022-06-19 12:00:00",264,0,32.02,36.74,3.061,160.8,990,0.825,3.586
"2022-06-19 13:00:00",265,0,33.02,34.57,3.174,165,1002,0.857,3.503
"2022-06-19 14:00:00",266,0,33.65,34.49,3.43,169.7,908,0.809,3.207
"2022-06-19 15:00:00",267,0,34.34,32.76,3.878,154.7,838,0.787,2.716
"2022-06-19 16:00:00",268,0,34.61,32.17,3.653,167.5,753.3,0.724,2.075
"2022-06-19 17:00:00",269,0,34.24,32.36,3.411,166.8,524.5,0.54,1.337
"2022-06-19 18:00:00",270,0,33.95,33.54,3.447,167,395.5,0.444,0.589
"2022-06-19 19:00:00",271,0,32.74,34.92,3.319,169.6,76.9,0.195,0.058
"2022-06-19 20:00:00",272,0,31.29,39.79,2.3,167.1,7.885,0.08,0
"2022-06-19 21:00:00",273,0,29.46,43.73,1.405,178.9,0,0.034,0
"2022-06-19 22:00:00",274,0,28.68,45.03,1.6,178.4,0,0.038,0
"2022-06-19 23:00:00",275,0,28.22,53.14,2.125,176.4,0,0.051,0
"2022-06-20 00:00:00",276,0,27.23,59.29,1.898,187.7,0,0.034,0
