,ar_bi_lstm,y_true,shift_bl,ar_lstm,cnn,lstm,bi_lstm
119,0.1997618,0.1533587100220503,0.1533587100220503,0.20985164,0.1668211,0.20307443,0.1466547
120,0.1989934,0.1533587100220503,0.1591576229671049,0.2094701,0.17614068,0.20317836,0.1465505
121,0.19711646,0.1533587100220503,0.1591576229671049,0.20712166,0.1759793,0.20334947,0.14600348
122,0.19573572,0.1533587100220503,0.1591576229671049,0.20450215,0.17614375,0.2037083,0.14563107
123,0.195091,0.1533587100220503,0.1591576229671049,0.20265208,0.17721918,0.20421071,0.14625557
124,0.1947705,0.1533587100220503,0.1591576229671049,0.2020826,0.17880897,0.20468342,0.14595097
125,0.19555604,0.1533587100220503,0.1591576229671049,0.20231767,0.1768389,0.2047695,0.14704302
126,0.19703849,0.1533587100220503,0.1591576229671049,0.20428701,0.1807276,0.2047611,0.14793614
127,0.1983784,0.1533587100220503,0.1591576229671049,0.20656857,0.1885853,0.20498621,0.14867875
128,0.19933103,0.1533587100220503,0.1591576229671049,0.20822386,0.19289222,0.20580293,0.14906842
129,0.2014542,0.1533587100220503,0.1591576229671049,0.2108034,0.19650939,0.20729233,0.15056108
130,0.20290598,0.1533587100220503,0.1591576229671049,0.21294585,0.17086764,0.20975406,0.1525813
131,0.2041289,0.1533587100220503,0.1591576229671049,0.2138306,0.18989614,0.21285178,0.15210533
132,0.20507407,0.1533587100220503,0.1591576229671049,0.2139235,0.19442332,0.21512718,0.14920506
133,0.20610106,0.1533587100220503,0.1591576229671049,0.21533585,0.18682693,0.2173378,0.14801233
134,0.20649159,0.1533587100220503,0.1591576229671049,0.21540964,0.19490448,0.218559,0.1471315
135,0.20708515,0.1533587100220503,0.1591576229671049,0.21668379,0.18284936,0.22058652,0.14728858
136,0.20782562,0.1533587100220503,0.1591576229671049,0.2176212,0.18873256,0.22118372,0.14677371
137,0.20776992,0.1533587100220503,0.1591576229671049,0.21836548,0.18520537,0.22054729,0.1480669
138,0.20721526,0.1533587100220503,0.1649565359121593,0.21872097,0.18159184,0.21898006,0.15002349
139,0.20597126,0.1533587100220503,0.1649565359121593,0.21855201,0.17826377,0.21683693,0.15176874
140,0.20499595,0.1591576229671049,0.1649565359121593,0.21730472,0.1800948,0.21568842,0.15409231
141,0.20307204,0.1591576229671049,0.1649565359121593,0.21565126,0.1727963,0.21532312,0.15536322
142,0.2008115,0.1591576229671049,0.1649565359121593,0.21390991,0.17213036,0.21499339,0.15462776
143,0.19871593,0.1591576229671049,0.1649565359121593,0.2114832,0.17511934,0.21544905,0.15338412
144,0.19653846,0.1591576229671049,0.1649565359121593,0.20853312,0.17245656,0.21586454,0.1511516
145,0.19485398,0.1591576229671049,0.1649565359121593,0.20559685,0.17515552,0.21641298,0.14903282
146,0.19419983,0.1591576229671049,0.1707554488572138,0.20375744,0.17551586,0.21740437,0.1471055
147,0.19450285,0.1591576229671049,0.1649565359121593,0.20297703,0.17560622,0.21824257,0.14670293
148,0.19443564,0.1591576229671049,0.1649565359121593,0.20289873,0.16991822,0.2179819,0.1464501
149,0.19442625,0.1591576229671049,0.1707554488572138,0.203183,0.1686934,0.21740076,0.14579701
150,0.19566356,0.1591576229671049,0.1707554488572138,0.20457166,0.18414508,0.21627448,0.14580356
151,0.19638944,0.1591576229671049,0.1707554488572138,0.20573673,0.18328932,0.21549411,0.14622116
152,0.19822393,0.1591576229671049,0.1707554488572138,0.20789517,0.18628094,0.21463344,0.14728573
